Discipline,Discipline_Level1,Discipline_Level2,DisciplineNumber,DisciplineLevel,ParentDiscipline,ParentDisciplineNumber
"Sociology, social work, political sciences, media and communication studies, health",Humanities and Social Sciences,"Sociology, social work, political sciences, media and communication studies, health",10600,2,Humanities and Social Sciences,10000
"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100,2,Humanities and Social Sciences,10000
"Psychology, educational studies",Humanities and Social Sciences,"Psychology, educational studies",10500,2,Humanities and Social Sciences,10000
"Ethnology, social and human geography",Humanities and Social Sciences,"Ethnology, social and human geography",10400,2,Humanities and Social Sciences,10000
"Economics, law",Humanities and Social Sciences,"Economics, law",10700,2,Humanities and Social Sciences,10000
"Art studies, musicology, theatre and film studies, architecture",Humanities and Social Sciences,"Art studies, musicology, theatre and film studies, architecture",10300,2,Humanities and Social Sciences,10000
Molecular Biology,Biology and Medicine,Basic Biological Research,30102,3,Basic Biological Research,30100
Inorganic Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20303,3,Chemistry,20300
Botany,Biology and Medicine,General Biology,30201,3,General Biology,30200
"Immunology, Immunopathology",Biology and Medicine,Experimental Medicine,30403,3,Experimental Medicine,30400
Fluid Dynamics,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20503,3,Engineering Sciences,20500
Organic Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20304,3,Chemistry,20300
Information Technology,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20506,3,Engineering Sciences,20500
Mathematics,"Mathematics, Natural- and Engineering Sciences",Mathematics,20100,2,"Mathematics, Natural- and Engineering Sciences",20000
Sociology,Humanities and Social Sciences,"Sociology, social work, political sciences, media and communication studies, health",10201,3,"Sociology, social work, political sciences, media and communication studies, health",10600
General history (without pre-and early history),Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10301,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100
Biochemistry,Biology and Medicine,Basic Biological Research,30101,3,Basic Biological Research,30100
Psychology,Humanities and Social Sciences,"Psychology, educational studies",10105,3,"Psychology, educational studies",10500
Physical Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20301,3,Chemistry,20300
"Religious studies, Theology",Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10102,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100
Condensed Matter Physics,"Mathematics, Natural- and Engineering Sciences",Physics,20404,3,Physics,20400
Zoology,Biology and Medicine,General Biology,30202,3,General Biology,30200
Geology,"Mathematics, Natural- and Engineering Sciences",Earth Sciences,20801,3,Earth Sciences,20800
"Embryology, Developmental Biology",Biology and Medicine,Basic Biological Research,30105,3,Basic Biological Research,30100
Genetics,Biology and Medicine,Basic Biological Research,30104,3,Basic Biological Research,30100
Ethnology,Humanities and Social Sciences,"Ethnology, social and human geography",10403,3,"Ethnology, social and human geography",10400
Prehistory,Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10401,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100
Microelectronics. Optoelectronics,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20508,3,Engineering Sciences,20500
Science of management,Humanities and Social Sciences,"Economics, law",10204,3,"Economics, law",10700
Swiss history,Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10302,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100
Geochemistry,"Mathematics, Natural- and Engineering Sciences",Earth Sciences,20803,3,Earth Sciences,20800
Methods of Epidemiology and Preventive Medicine,Biology and Medicine,Preventive Medicine (Epidemiology/Early Diagnosis/Prevention),30812,3,Preventive Medicine (Epidemiology/Early Diagnosis/Prevention),30800
Material Sciences,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20505,3,Engineering Sciences,20500
"Education and learning sciences, subject-specific education",Humanities and Social Sciences,"Psychology, educational studies",10104,3,"Psychology, educational studies",10500
Ecology,Biology and Medicine,General Biology,30207,3,General Biology,30200
Other disciplines of Physics,"Mathematics, Natural- and Engineering Sciences",Physics,20409,3,Physics,20400
Agricultural and Forestry Sciences,Biology and Medicine,General Biology,30205,3,General Biology,30200
Social geography and ecology,Humanities and Social Sciences,"Ethnology, social and human geography",10206,3,"Ethnology, social and human geography",10400
Political science,Humanities and Social Sciences,"Sociology, social work, political sciences, media and communication studies, health",10202,3,"Sociology, social work, political sciences, media and communication studies, health",10600
Other disciplines of Environmental Sciences,"Mathematics, Natural- and Engineering Sciences",Environmental Sciences,20709,3,Environmental Sciences,20700
"Climatology. Atmospherical Chemistry, Aeronomy","Mathematics, Natural- and Engineering Sciences",Environmental Sciences,20704,3,Environmental Sciences,20700
"Cellular Biology, Cytology",Biology and Medicine,Basic Biological Research,30103,3,Basic Biological Research,30100
Physiology : other topics,Biology and Medicine,Basic Medical Sciences,30305,3,Basic Medical Sciences,30300
Legal sciences,Humanities and Social Sciences,"Economics, law",10205,3,"Economics, law",10700
Public Health and Health Services,Biology and Medicine,Social Medicine,30911,3,Social Medicine,30900
"Astronomy, Astrophysics and Space Sciences","Mathematics, Natural- and Engineering Sciences","Astronomy, Astrophysics and Space Sciences",20200,2,"Mathematics, Natural- and Engineering Sciences",20000
Economics,Humanities and Social Sciences,"Economics, law",10203,3,"Economics, law",10700
Biomedical Engineering,Biology and Medicine,Clinical Medicine,30714,3,Clinical Medicine,30700
Philosophy,Humanities and Social Sciences,"Linguistics and literature, philosophy",10101,3,"Linguistics and literature, philosophy",10200
Musicology,Humanities and Social Sciences,"Art studies, musicology, theatre and film studies, architecture",10405,3,"Art studies, musicology, theatre and film studies, architecture",10300
Medical Microbiology,Biology and Medicine,Basic Medical Sciences,30307,3,Basic Medical Sciences,30300
Paediatrics,Biology and Medicine,Clinical Medicine,30707,3,Clinical Medicine,30700
Other disciplines of Engineering Sciences,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20511,3,Engineering Sciences,20500
Ecclesiastical history,Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10103,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100
Chemical Engineering,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20507,3,Engineering Sciences,20500
Internal Medicine,Biology and Medicine,Clinical Medicine,30701,3,Clinical Medicine,30700
