PersonNumber,GrantNumber
11139,50781
118480,50781
50789,50781
52053,50781
52055,50781
25557,52505
25557,52505
57648,52790
91824,52790
118257,54146
3637,54146
5062,54146
68329,54991
58195,55214
115582,55313
75264,55313
115535,55385
68329,55385
115930,55410
34828,55410
11191,55458
11191,55458
15034,55458
15255,55458
22756,55458
8850,55458
8850,55458
100683,55475
100683,55475
44113,55475
10071,55572
34923,55572
13198,55653
29261,55681
45804,55681
118237,55770
36658,55770
54544,55770
69910,55856
69910,55856
113913,55893
11940,55893
1662,55893
27221,55893
2990,55899
41271,55899
5166,55899
9867,55899
137480,55917
139361,55917
139708,55917
139709,55917
18206,55917
84419,55917
85266,55917
91922,55917
95218,55917
120531,55924
120533,55924
130422,55924
3355,55924
513947,55924
513948,55924
9309,55924
94362,55924
66896,55932
69768,55932
72148,55932
7997,55932
111177,55945
30111,55945
53229,55945
22436,56059
3431,56059
62976,56059
57980,56189
11038,56368
120056,56368
121945,56368
121947,56368
139370,56368
19625,56368
38027,56368
62373,56368
114522,56429
12185,56429
2349,56429
8583,56429
126118,56477
27874,56477
36364,56477
53891,56477
56841,56477
59442,56477
113182,56486
121732,56486
19483,56486
20048,56486
54522,56517
44684,56519
105949,56546
100505,56547
105958,56550
58683,56553
25747,56559
105641,56570
105985,56570
122439,56570
12345,56570
129885,56570
134113,56570
2907,56570
33696,56570
54683,56570
90892,56570
43861,56589
38288,56592
51365,56599
100108,56601
98972,56609
106068,56626
73616,56627
116410,56643
12535,56643
3059,56643
54499,56643
106095,56649
63841,56651
10972,56655
12642,56655
26932,56655
56900,56659
66423,56659
66423,56659
118844,56660
47670,56660
85009,56660
85012,56660
106118,56669
117523,56675
29970,56675
6481,56675
49962,56687
122484,56689
134402,56689
23900,56689
46142,56689
49144,56697
121642,56699
121643,56699
44369,56699
95540,56699
10418,56704
106163,56712
11457,56712
119681,56712
130647,56712
139534,56712
54863,56712
7773,56712
118946,56714
118948,56714
59203,56714
82466,56714
124104,56715
45756,56715
46269,56715
8678,56715
9609,56715
12781,56719
134889,56719
46117,56719
53589,56719
121119,56727
124974,56727
25074,56727
3774,56727
49949,56727
10230,56728
36606,56728
49711,56728
507484,56728
514748,56728
514749,56728
72143,56728
106200,56750
130048,56750
130049,56750
26405,56750
26406,56750
52790,56750
103180,56755
114010,56755
134380,56755
134462,56755
18732,56755
105170,56764
113904,56764
15150,56764
83630,56764
25139,56780
41187,56780
8569,56780
20489,56786
10989,56796
117496,56796
131738,56796
49769,56796
503615,56796
80617,56796
94021,56796
115011,56818
11894,56818
12550,56818
130748,56818
51244,56818
8730,56823
106793,56825
138791,56825
29476,56825
57860,56825
90906,56825
122125,56835
129782,56835
19207,56835
35464,56835
5019,56835
101815,56854
4693,56854
115873,56855
75426,56855
83666,56855
85466,56855
118012,56858
8245,56858
85288,56858
106236,56862
36200,56862
54400,56862
75095,56862
82420,56862
111966,56865
130958,56865
85778,56865
94541,56865
115233,56871
85779,56871
85780,56871
9188,56871
97688,56871
105675,56876
106237,56876
109432,56876
109491,56876
111811,56876
117218,56876
117330,56876
121837,56876
14294,56876
16282,56876
4538,56876
74768,56876
80547,56876
84393,56876
99467,56876
45815,56878
121483,56885
123042,56885
123044,56885
123045,56885
49299,56885
507045,56885
90699,56885
20217,56889
4942,56889
85917,56889
88799,56889
97303,56889
133867,56893
56793,56893
56793,56893
118769,56900
122013,56900
23579,56900
33258,56900
38859,56900
95792,56900
10761,56922
121254,56922
121255,56922
121256,56922
121257,56922
132673,56922
136100,56922
75523,56922
30281,56923
106251,56927
106255,56927
117295,56927
130787,56927
40994,56927
66813,56927
91301,56927
106253,56932
106605,56950
131187,56950
23480,56950
91293,56950
96343,56950
106264,56961
129220,56961
129222,56961
129223,56961
70316,56961
72374,56961
104714,56975
106082,56975
106631,56975
111300,56975
114903,56975
122295,56975
122440,56975
125798,56975
13478,56975
13790,56975
14304,56975
14538,56975
14790,56975
15306,56975
2126,56975
24295,56975
28084,56975
31074,56975
84385,56975
92414,56975
9554,56975
99516,56975
15334,56980
17497,56980
115837,56991
139440,56991
139441,56991
31944,56991
510872,56991
57707,56991
115957,56992
115959,56992
115960,56992
66098,56992
96491,56993
96491,56993
32844,56997
54692,56997
75357,56997
96496,56997
106288,57005
106291,57011
100939,57026
4127,57026
106304,57027
12403,57027
89253,57027
138744,57043
69910,57043
106315,57062
121260,57062
9634,57062
106317,57065
121899,57065
26360,57065
3622,57065
44193,57065
502373,57065
502376,57065
71838,57065
95184,57065
106322,57066
116120,57066
26271,57066
57703,57066
57711,57066
106541,57069
121798,57069
121799,57069
38582,57069
75413,57069
