DisciplineNumber,GrantNumber
30206,143879
30207,143879
30102,189185
30103,189185
30401,189185
30402,189185
30403,189185
30102,200125
30104,200125
30105,200125
10303,124295
10402,124295
30713,30188
30102,65760
30102,100886
20304,143840
10102,115072
30401,150024
10302,1261
30303,118274
20200,128505
10103,141643
10303,141643
30107,169853
30307,169853
30706,169853
20301,172696
20409,172696
30101,110278
30102,110278
20801,42108
10202,134815
10206,134815
10105,165630
30101,67422
10205,113373
20100,62477
10502,15417
30103,207587
30105,207587
30302,207587
30713,28013
20705,63818
20801,109200
30102,135694
30103,135694
30402,205275
30403,205275
20100,100015
30403,139174
10207,113962
10404,128963
10203,180328
10301,180328
10402,180328
10404,180328
20704,180328
10206,149478
10407,149478
20401,4313
20506,139823
20802,139823
10206,40205
10101,46582
20403,61904
20705,39145
10502,39611
10205,102393
30401,172885
30707,8966
10202,107504
10203,107504
30204,156299
30809,156299
20503,149661
20705,149661
20505,180264
10104,153278
10607,153278
20506,153278
30101,136485
30103,136485
30108,136485
20507,10683
30403,122429
30105,186186
30102,200491
30104,200491
30202,200491
30207,200491
20404,128804
20404,28328
30302,166535
30708,166535
10105,26022
10201,151693
10207,151693
10501,151693
10502,151693
10503,151693
20401,207386
20403,207386
20301,147191
20511,190345
30714,190345
10301,167718
10201,185133
10204,185133
20200,117833
10205,107792
30101,118815
30301,118815
30306,118815
30302,54180
0,7616
30102,187415
30305,187415
20505,117177
20301,175711
20505,175711
30301,53028
10203,160659
10101,121121
30104,137338
30202,137338
30108,7287
10202,307
20404,2503
10101,140885
20405,132659
20503,132659
30702,113437
30715,113437
10000,41664
10601,177536
10605,177536
10105,122366
10101,154141
10102,154141
10301,154141
10201,131182
10202,131182
10205,131182
10602,131182
10105,128574
10203,128574
30302,128574
30103,113832
30102,9380
20100,103284
20503,47102
30207,190574
30717,8535
20506,52087
10201,197204
20303,33562
20803,33562
20507,199831
10205,131524
10501,66691
10404,205303
30102,103936
20404,53889
10301,190970
20501,172493
20705,172493
30403,116304
10105,194283
30407,194283
30708,194283
10302,131113
30102,201678
30403,201678
10104,188967
20506,188967
30708,189723
10202,110447
10102,184525
30303,65121
10105,66052
30102,198833
10303,109984
10404,186569
10407,186569
10201,153808
10203,153808
30102,184669
30102,57434
30104,57434
20409,206488
10105,153616
20100,43555
20200,116317
20503,39660
30105,34097
10502,27426
20100,67839
20404,3813
10101,63836
20402,3881
20403,3881
20705,39197
20304,25555
30302,53706
20301,115105
20304,115105
30108,115105
30402,122572
30708,122572
30720,122572
30101,156907
30102,156907
30707,156907
30807,156907
10201,32449
10405,32449
10405,812
30703,9360
30102,127566
30401,127566
20709,107910
10103,53588
10501,118724
20200,38330
30703,38820
30705,53799
20100,133949
20303,57494
20405,4338
30101,116627
10203,155770
30712,118400
30911,118400
20506,114330
30305,138485
30306,138485
30402,138485
30710,138485
20303,5303
30302,111592
30108,190579
30303,190579
30714,190579
10104,207080
30103,205638
30101,131081
30102,131081
20700,58277
20100,103863
20503,160083
20705,160083
30304,109413
30403,109413
30807,109413
20200,185069
20504,185069
20301,51571
10204,1468
30104,174703
10203,130761
10204,130761
30402,100750
10203,154034
20301,154034
20304,154034
20511,154034
30302,6700
20809,103646
10402,101576
10301,20631
30305,104617
20403,5122
30716,8917
10104,154360
30708,119885
30718,119885
30809,119885
10204,59863
30102,64221
30702,104778
30102,26134
30701,6825
20505,195110
20505,36616
10101,139827
10201,139827
10206,139827
10403,139827
20508,10592
10203,30424
30401,104174
20303,116204
10501,133277
20804,4493
30101,7564
30705,40786
20506,48689
10104,118708
30201,44620
10404,116958
10501,116958
30704,5815
10102,26496
20805,206153
30205,28609
30302,187000
20401,64671
20404,43250
10201,155078
10202,155078
10206,155078
30104,111216
30202,111216
30207,111216
30302,44523
30708,44523
20304,28877
10201,69370
20301,129917
20304,129917
10101,175035
20511,182273
30107,182273
30401,208136
30403,208136
30709,153396
30401,111994
20200,114800
20403,114800
10301,1994
30102,46649
20506,119847
10202,158617
10205,100768
10102,132931
10502,132931
20100,52374
30101,104144
20404,56392
30809,111949
20301,169913
20503,169913
30207,204024
30401,146638
30403,146638
30703,146638
10204,204670
30101,160798
30102,160798
30103,160798
30104,160798
20506,127166
10105,146326
30104,146326
30302,146326
30708,146326
30803,146326
20506,202292
30102,202292
20403,105474
10205,164704
10403,164704
10503,110338
20301,173720
20304,173720
20409,173720
50000,173720
10201,168934
10202,168934
10203,168934
10206,168934
20805,55573
20504,165566
20511,165566
10201,108806
30812,108806
30911,108806
10105,202942
30809,203382
30101,27645
10105,102
10104,126544
10201,126544
20701,27630
20403,4442
10201,139518
10203,139518
20100,200874
20401,200874
20100,4494
20505,45651
10202,119271
10301,119271
30302,100679
10404,151748
10503,151748
10206,202957
20809,202957
20709,142171
20409,185366
30703,185366
20511,10063
10404,142682
20301,189857
20304,189857
30207,9196
20100,161852
20301,57516
10301,110966
10302,110966
20805,207903
30203,207903
20303,53414
