InstituteNumber,index,Institute,InstituteCountry,ResearchInstitution
1,0,Département de Biologie Moléculaire Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE
2,1,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Switzerland,EPF Lausanne - EPFL
3,2,"UNI: CABI Bioscience (Ascot) Environment UK Centre Ascot, Berkshire GB",Great Britain and Northern Ireland,University of Fribourg - FR
4,3,Département de Pathologie et Immunologie Faculté de Médecine / CMU Université de Genève,Switzerland,University of Geneva - GE
5,4,WSL - Institut für Schnee- und Lawinenforschung SLF,Switzerland,"Swiss Federal Institute for Forest, Snow and Landscape Research  - WSL"
6,5,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Switzerland,
7,6,"Departement für Chemie, Biochemie und Pharmazie Universität Bern",Switzerland,University of Berne - BE
8,7,IDIAP Institut de Recherche,Switzerland,Idiap Research Institute - IDIAP
9,8,Department of Mathematics Massachusetts Institute of Technology,United States of America,Institution abroad - United States of America
10,9,UNI: Universität Zürich Abt. Psychosoziale M edizin  Zürich CH,Switzerland,Institution abroad - Switzerland
11,10,Historisches Seminar Universität Luzern,Switzerland,University of Lucerne - LU
12,11,Theodor Kocher Institut Universität Bern,Switzerland,University of Berne - BE
13,12,Département de Biologie Végétale Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE
14,13,MRC Laboratory of Molecular Biology,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland
15,14,Allgemeine und Entwicklungspsychologie Psychologisches Institut Universität Zürich,Switzerland,University of Zurich - ZH
16,15,Laboratorium für Physikalische Chemie D-CHAB ETH Zürich,Switzerland,ETH Zurich - ETHZ
17,16,Asien-Afrika Institut Universität Hamburg,Germany,Institution abroad - Germany
18,17,Institut de Physique Université de Neuchâtel,Switzerland,University of Neuchatel - NE
19,18,Ausstellungen Zoologisches Museum der Universität Zürich,Switzerland,University of Zurich - ZH
20,19,Institut für Pflanzen- und Mikrobiologie Universität Zürich,Switzerland,University of Zurich - ZH
21,20,Departement Erdwissenschaften ETH Zürich,Switzerland,ETH Zurich - ETHZ
22,21,Institut für Anatomie Medizinische Fakultät Universität Bern,Switzerland,University of Berne - BE
23,22,Departement für Moraltheologie und Ethik Universität Freiburg,Switzerland,University of Fribourg - FR
24,23,Zoologisches Institut Universität Zürich-Irchel,Switzerland,University of Zurich - ZH
25,24,Institut de Biologie Université de Neuchâtel,Switzerland,
26,25,Dépt Microbiologie et Médecine Moléculaire Faculté de Médecine Université de Genève,Switzerland,University of Geneva - GE
27,26,Ethnologisches Seminar Universität Basel,Switzerland,University of Basel - BS
28,27,Unité d'anthropologie Département de génétique et évolution Université de Genève,Switzerland,University of Geneva - GE
29,28,Département de Génétique et Evolution Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE
30,29,Chaire swissUp en ingénierie EPFL - STI - IBI-STI - CLSE,Switzerland,EPF Lausanne - EPFL
31,30,The Wharton School University of Pennsylvania,United States of America,Institution abroad - United States of America
32,31,Institut für Biochemie Departement Biologie ETH Zürich,Switzerland,ETH Zurich - ETHZ
33,32,Institut für Angewandte Physik ETH Zürich,Switzerland,ETH Zurich - ETHZ
34,33,Institut de Minéralogie et Pétrographie Centre d'Analyse Minérale Université de Lausanne,,University of Lausanne - LA
35,34,Departement Geschichte Universität Basel,Switzerland,University of Basel - BS
36,35,Forschungsinstitut für Arbeit und Arbeitswelten Universität St. Gallen (FAA-HSG),Switzerland,University of St.Gallen - SG
37,36,Département de Chimie Organique Université de Genève,Switzerland,University of Geneva - GE
38,37,Departement Materialwissenschaft ETH Zürich,Switzerland,ETH Zurich - ETHZ
39,38,Centro Stefano Franscini ETH-Zentrum,Switzerland,ETH Zurich - ETHZ
40,39,HEC - Ecole des Hautes Etudes Commerciales Université de Lausanne,Switzerland,University of Lausanne - LA
41,40,Institut für Heilpädagogik Pädagogische Hochschule Bern,Switzerland,University of Fribourg - FR
42,41,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Switzerland,University of Berne - BE
43,42,Département d'Ecologie et d'Evolution Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,University of Neuchatel - NE
44,43,Laboratoire Temps-Fréquence Université de Neuchâtel,Switzerland,University of Neuchatel - NE
45,44,Academy of Sciences of the Republic of Uzbekistan; Inst. of Zoology Dept. of General Entomology,Uzbekistan,Unassignable - NA
46,45,Centre en études genre Institut des Sciences Sociales Université de Lausanne,Switzerland,University of Lausanne - LA
47,46,Laboratoire d'intermodalité des transports et de planification EPFL-ENAC-INTER-LITEP,Switzerland,EPF Lausanne - EPFL
48,47,Department of Political Science University of California,United States of America,Unassignable - NA
49,48,Informatics & Sustainability Research Group Technologie und Gesellschaft Empa,Switzerland,Swiss Federal Laboratories for Materials Science and Technology - EMPA
50,49,"Luftfremdstoffe / Umwelttechnik 500 - Mobility, Energy and Environment EMPA",Switzerland,
51,50,Département de Biochimie Faculté des Sciences II Université de Genève,Switzerland,University of Geneva - GE
52,51,Departement Mathematik ETH Zürich,Switzerland,ETH Zurich - ETHZ
53,52,Institut für Evolutionäre Medizin IEM Medizinische Fakultät Universität Zürich,Switzerland,University of Zurich - ZH
54,53,Facultad de Derecho Universidad de Buenos Aires,Argentina,Institution abroad - Argentina
55,54,Ecole supérieure d'enseignement infirmier,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO"
