GrantNumber,OutputId,Title,Year
171329,ABA1F669-EECE-4021-A6A7-EE5349B744A5,Gewinnerin Marie Skłodowska Curie Fellowship (24 Mt.),2021
171329,2F28CCF2-A954-4A3E-BCB7-E87A981BF541,"Habilitierung and Ludwig-Maximilians Universität, München",2019
172114,E36F5460-7C69-42E5-BB09-E77C5A822A2D,Göran Skogh Award,2017
158801,2A7E9ED6-FC65-4C7A-8EA9-B6EAD327F110,Harlan Fiske Stone Scholar,2015
131340,783A826B-73A5-41ED-9BE0-6D61567E7F1D,"Commendation Award for the best scientific paper presented at the International Conference on ""Building Resilience"", Ahungalla, Sri Lanka, Organized by the Centre for Disaster Resilience, University of Salford, UK.",2013
138789,D3C3AEEA-C8D7-43C7-BF50-677882FD4AA1,Best Paper Award EUPRERA 2012 Conference,2012
145645,855406DC-C6AE-4B2D-99E2-3E651973D4DA,"Grand prix de l'Académie française, 2014 : prix d'Académie de la Fondation Le Métais-Larivière pour l'édition des oeuvres françaises de Michel de L'Hospital et pour ses travaux sur la Renaissance; www.academie-francaise.fr/loris-petris",2014
178668,27B6CFC2-AE58-461D-AA2B-798E4481CECF,Jacques-Handschin-Preis,2018
171692,B6F54561-0232-40F9-A504-8293B490C9E4,Visiting Scholar at the Harriman Institute of Columbia University,2017
200054,C41E4BF6-F543-4E7F-84D3-46F37E1F2C39,Early Career Award of the Schizophrenia International Research Society,2021
200054,D7F714C8-74B3-4CED-98DD-ADA6FC61B792,Best Poster Award of the Schizophrenia International Research Society,2021
171881,0D9412EF-C91F-489D-93B0-6A5E97730A04,"2017 Best Paper Award, Political Economy and Welfare Network, Council of European Studies",2017
148580,BC9CD035-1D34-4337-999E-C3F099138066,"Swiss National Science Foundation Award for doctoral research. 
Title: ""Cultural Europe and Political Europe"".",2014
148580,BFEFC038-8D49-49FE-8588-BB6F71A6535F,Prize from the Ernst and Lucie Schmidheiny Foundation,2013
158595,B6FFA9F4-F7C9-4CB0-B306-D38256125796,I have been contributed a title of Honorary Research Associate of UCL from 2016 - 2021,2016
143794,42C95662-1CDE-41C5-8A51-85387C762BD8,Best Sustainable- and Social- Entrepreneurship Research Award,2012
143794,839217CD-C450-4546-95F0-AA2B47C4296D,Nominiert für Best Entrepreneurship Research Newcomer Award 2013,2013
155369,3F71B704-F68E-429C-9B01-8B6879BB120B,"Prize for the Best Dissertation in Economics, University of St.Gallen",2016
100851,417DAB68-8C22-496C-9827-7CE4CAD4F241,Prix de la Faculté de théologie et de sciences des religions de l'Université de Lausanne,2008
181340,F03D5479-EAA2-437E-92C4-9DBF5C81471D,"Visiting Graduate Student Fellowship, Perimeter Institute, Canada",2019
181641,C94263FC-78D9-4067-A3C2-1F0474D30F87,Keystone Symposia Scholarship,2020
